ID,Education,Income,Total_Spending
5524,Graduation,58138,1617
4141,Graduation,71613,776
5324,PhD,58293,422
7446,Master,62513,716
965,Graduation,55635,590
2125,Graduation,63033,1102
8180,Master,59354,310
2114,PhD,82800,1315
6565,Master,76995,1782
1993,PhD,58607,972
4047,PhD,65324,544
2404,Graduation,53359,257
1966,PhD,84618,1672
8755,Master,68657,1196
4339,PhD,67353,913
8601,Graduation,80011,1395
1371,Graduation,79941,984
6566,PhD,72550,1319
8614,Graduation,65486,507
4114,Master,79143,1693
2225,Graduation,82582,1617
9381,Graduation,66373,606
6260,Master,82384,1957
10383,Graduation,70287,1093
8375,PhD,55954,518
6853,Master,75777,1438
3076,Graduation,66653,612
1012,Graduation,61823,884
6518,PhD,67680,606
4137,Graduation,70666,1076
9369,2n Cycle,88194,1274
4477,Graduation,69096,653
1357,Graduation,74854,1562
1402,Master,66991,1253
6312,Graduation,65031,863
8132,PhD,60631,661
1859,Master,75251,1890
7503,Graduation,75825,2209
1618,Graduation,56046,692
535,Graduation,81361,778
4452,Graduation,50388,372
8504,Graduation,79593,1366
771,Graduation,54178,194
11100,Graduation,51813,63
4646,2n Cycle,78497,978
3037,PhD,50150,410
4518,Graduation,85693,1169
9370,PhD,65846,1120
8908,Graduation,87195,1097
2683,Graduation,52413,910
10991,Master,89058,850
5077,Graduation,77298,969
7431,PhD,68126,1820
3267,Master,57288,608
999,Graduation,86037,730
2286,Graduation,50785,114
1592,Graduation,90765,1724
9805,Master,56129,660
7215,Graduation,101970,1135
1491,2n Cycle,71488,559
11071,Graduation,79607,1923
3381,Master,54348,90
11051,PhD,77376,661
8026,Graduation,62998,463
433,Master,61331,632
9597,Graduation,73448,725
1685,PhD,62981,1482
821,Master,92859,2077
11084,Master,65104,1053
8690,Graduation,86111,1385
2937,PhD,68352,871
9949,Graduation,59809,877
3830,Master,59354,459
7987,Graduation,65747,460
7055,PhD,61010,1021
10240,Graduation,69372,1381
9283,Graduation,60199,18
9970,Graduation,55375,162
2730,Graduation,80317,1231
9260,PhD,70356,1706
10095,PhD,74165,1293
8475,PhD,157243,1608
10573,Graduation,62551,421
3712,Graduation,52332,259
6637,Graduation,66951,1117
1349,Graduation,50447,148
1880,PhD,53537,93
641,Graduation,52074,119
8717,PhD,80427,1835
10314,PhD,83837,1318
6935,2n Cycle,78497,978
7698,PhD,51650,191
10562,Master,66835,1033
3934,Graduation,61286,608
6982,Graduation,74068,1581
5602,PhD,66973,1282
326,Graduation,51148,315
6999,Master,69661,834
9938,Graduation,80067,1600
6422,Graduation,86718,1270
7300,Graduation,69142,535
10424,Graduation,75922,1295
8727,Graduation,63693,1150
2798,PhD,102160,1240
380,Graduation,64497,1804
6521,Graduation,77972,1101
0,Graduation,70951,1198
7264,2n Cycle,52195,17
6274,Master,83790,1615
454,Graduation,69508,1135
2075,Graduation,72460,1047
4785,PhD,77622,714
7079,Graduation,63887,1245
7375,Graduation,51369,576
709,Graduation,51537,1103
460,PhD,79930,1753
5341,2n Cycle,81975,1588
3233,PhD,62745,1117
