order_id,customer_id,order_date,status,region_code
ORD00001,,2023-12-15 07:42:41,RETURNED,EAST
ORD00002,,2023-03-15 05:29:40,PLACED,SOUTH
ORD00003,,2024-06-12 04:27:31,SHIPPED,SOUTH
ORD00004,,2025-01-14 01:02:48,DELIVERED,SOUTH
ORD00005,,2025-01-05 21:30:25,SHIPPED,SOUTH
ORD00006,,2024-01-05 05:04:12,RETURNED,SOUTH
ORD00007,,2023-03-30 22:23:21,SHIPPED,EAST
ORD00008,,2024-11-01 02:06:57,PLACED,EAST
ORD00009,,2024-06-11 06:27:54,RETURNED,NORTH
ORD00010,,2025-12-01 07:10:00,RETURNED,NORTH
ORD00011,,2025-08-05 21:53:11,SHIPPED,SOUTH
ORD00012,,2023-01-18 14:47:38,DELIVERED,SOUTH
ORD00013,,2023-02-20 13:15:46,SHIPPED,NORTH
ORD00014,,2023-02-23 12:12:19,DELIVERED,SOUTH
ORD00015,,2025-08-19 02:06:49,SHIPPED,NORTH
ORD00016,,2025-01-06 05:07:21,SHIPPED,NORTH
ORD00017,,2025-05-22 21:26:36,DELIVERED,SOUTH
ORD00018,,2023-10-06 10:04:35,RETURNED,NORTH
ORD00019,,2023-08-28 14:52:18,DELIVERED,SOUTH
ORD00020,,2024-12-01 00:00:00,DELIVERED,EAST
ORD00021,,2024-05-06 20:14:11,RETURNED,SOUTH
ORD00022,,2024-02-20 00:04:36,CANCELLED,NORTH
ORD00023,,2025-08-07 00:36:29,SHIPPED,WEST
ORD00024,,2023-02-21 12:19:05,SHIPPED,WEST
ORD00025,,2025-04-16 05:18:32,DELIVERED,SOUTH
ORD00026,,2025-12-13 10:34:01,PLACED,EAST
ORD00027,,2024-12-21 14:22:00,DELIVERED,WEST
ORD00028,,2024-12-10 21:37:15,DELIVERED,SOUTH
ORD00029,,2023-12-07 14:38:07,CANCELLED,EAST
ORD00030,,2025-02-08 21:08:04,SHIPPED,NORTH
ORD00031,,2025-05-10 01:06:05,PLACED,SOUTH
ORD00032,,2023-07-10 22:29:19,SHIPPED,WEST
ORD00033,,2025-07-08 01:30:34,RETURNED,NORTH
ORD00034,,2024-05-05 21:51:36,DELIVERED,EAST
ORD00035,,2024-07-26 20:27:46,DELIVERED,NORTH
ORD00036,,2024-05-18 12:41:56,PLACED,SOUTH
ORD00037,,2023-09-26 12:00:33,DELIVERED,WEST
ORD00038,,2024-07-20 17:33:44,CANCELLED,WEST
ORD00039,,2024-10-13 22:09:14,RETURNED,NORTH
ORD00040,,2024-04-04 00:00:00,CANCELLED,NORTH
ORD00041,,2024-09-01 15:25:38,SHIPPED,WEST
ORD00042,,2024-06-09 03:44:38,PLACED,SOUTH
ORD00043,,2025-04-30 06:34:19,DELIVERED,NORTH
