item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000001,ORD00755,PROD0099,-1,21957.29,59.71
ITEM000002,ORD00674,PROD0015,-4,47447.62,15.16
ITEM000003,ORD00052,PROD0033,-2,32439.26,99.88
ITEM000004,ORD00119,PROD0441,-2,40695.14,91.36
ITEM000005,ORD00532,PROD0135,-2,45871.7,54.43
ITEM000006,ORD00314,PROD0449,-2,44054.98,44.77
ITEM000007,ORD00345,PROD0322,-2,25999.91,65.86
ITEM000008,ORD00625,PROD0167,-3,41610.76,82.55
ITEM000009,ORD00971,PROD0360,-1,29948.29,50.73
ITEM000010,ORD00517,PROD0476,-4,42800.42,70.21
ITEM000011,ORD00697,PROD0453,-5,23641.84,23.23
ITEM000012,ORD00785,PROD0344,-4,8803.76,30.92
ITEM000013,ORD00983,PROD0033,-1,2903.91,7.06
ITEM000014,ORD00956,PROD0325,-5,11059.49,87.69
ITEM000015,ORD00612,PROD0266,-3,18079.7,49.94
ITEM000016,ORD00760,PROD0140,-2,31620.67,85.57
ITEM000017,ORD00731,PROD0176,-5,41050.8,58.31
ITEM000018,ORD00329,PROD0301,-2,17884.59,33.84
ITEM000019,ORD00834,PROD0463,-1,10735.74,59.3
ITEM000020,ORD00822,PROD0401,-5,17790.51,75.16
ITEM000021,ORD00289,PROD0009,-1,32066.66,46.6
ITEM000022,ORD00719,PROD0394,-1,17508.52,77.73
ITEM000023,ORD00014,PROD0441,-2,12020.49,18.89
ITEM000024,ORD00217,PROD0025,-4,12748.8,66.43
ITEM000025,ORD00706,PROD0093,-3,18007.18,78.03
ITEM000026,ORD00532,PROD0484,-5,2017.42,87.52
ITEM000027,ORD00109,PROD0105,-3,21883.02,15.66
ITEM000028,ORD00317,PROD0079,-3,49895.08,30.55
ITEM000029,ORD00448,PROD0339,-5,44300.84,51.13
ITEM000030,ORD00882,PROD0003,-2,3931.56,68.61
ITEM000031,ORD00866,PROD0094,-1,11741.73,21.32
ITEM000032,ORD00331,PROD0454,-3,22510.78,66.31
ITEM000033,ORD00984,PROD0472,-4,42655.97,31.45
ITEM000034,ORD00727,PROD0461,-5,37048.97,50.2
ITEM000035,ORD00864,PROD0445,-3,41998.93,56.87
ITEM000036,ORD00385,PROD0426,-2,13250.49,32.28
ITEM000037,ORD00455,PROD0092,-5,43916.75,51.56
ITEM000038,ORD00612,PROD0007,-5,20515.72,26.05
ITEM000039,ORD00940,PROD0112,-1,1732.69,7.51
ITEM000040,ORD00075,PROD0448,-2,9237.47,86.46
ITEM000041,ORD00962,PROD0454,-3,28087.1,99.41
ITEM000042,ORD00759,PROD0391,-4,46459.95,93.83
ITEM000043,ORD00874,PROD0496,-1,42056.37,11.06
ITEM000044,ORD00209,PROD0082,-3,12250.28,35.7
ITEM000045,ORD00154,PROD0379,-1,32507.56,60.78
ITEM000046,ORD00699,PROD0224,-3,32546.45,21.26
ITEM000047,ORD00128,PROD0374,-1,33633.89,80.24
ITEM000048,ORD00136,PROD0290,-4,16359.23,92.11
ITEM000049,ORD00647,PROD0140,-2,40693.74,11.4
ITEM000050,ORD00005,PROD0255,-2,40626.85,81.17
ITEM000051,ORD00298,PROD0190,-2,6280.28,80.6
ITEM000052,ORD00149,PROD0102,-1,35291.25,90.14
ITEM000053,ORD00887,PROD0118,-4,30521.83,29.82
ITEM000054,ORD00485,PROD0142,-2,39735.82,77.11
ITEM000055,ORD00905,PROD0357,-3,44864.67,65.53
ITEM000056,ORD00920,PROD0031,-4,23113.51,24.33
ITEM000057,ORD00976,PROD0418,-5,28584.17,49.75
ITEM000058,ORD00399,PROD0007,-3,39226.17,59.84
ITEM000059,ORD00570,PROD0090,-5,12592.62,44.19
ITEM000060,ORD00003,PROD0012,-4,9139.21,32.3
ITEM000061,ORD00318,PROD0353,-4,27571.71,1.52
ITEM000062,ORD00856,PROD0374,-4,5444.42,52.19
ITEM000063,ORD00370,PROD0426,-2,16793.73,2.09
ITEM000064,ORD00262,PROD0091,-1,14268.09,60.96
ITEM000065,ORD00888,PROD0203,-3,37644.95,86.82
ITEM000066,ORD00954,PROD0052,-1,17442.22,38.04
ITEM000067,ORD00245,PROD0414,-2,21094.22,5.63
ITEM000068,ORD00984,PROD0079,-3,43494.53,55.31
ITEM000069,ORD00303,PROD0115,-5,32839.96,58.29
ITEM000070,ORD00437,PROD0301,-5,837.0,82.0
ITEM000071,ORD00780,PROD0075,-2,26568.17,86.6
ITEM000072,ORD00601,PROD0003,-4,11549.32,32.63
ITEM000073,ORD00775,PROD0350,-3,37944.54,80.16
ITEM000074,ORD00817,PROD0177,-1,7315.67,88.45
ITEM000075,ORD00569,PROD0127,-1,41184.58,97.55
ITEM000076,ORD00460,PROD0393,10,7002.25,56.51
ITEM000077,ORD00305,PROD0066,3,27149.68,79.81
ITEM000078,ORD00383,PROD0192,7,13927.82,33.24
ITEM000079,ORD00463,PROD0159,8,1326.79,85.08
ITEM000080,ORD00513,PROD0486,7,19575.82,39.4
ITEM000081,ORD00456,PROD0330,7,11058.29,29.97
ITEM000082,ORD00886,PROD0056,4,13046.73,36.11
ITEM000083,ORD00900,PROD0348,9,17720.08,50.36
ITEM000084,ORD00110,PROD0084,3,33173.28,42.56
ITEM000085,ORD00106,PROD0497,1,28532.93,13.56
ITEM000086,ORD00270,PROD0390,4,9381.25,19.84
ITEM000087,ORD00072,PROD0401,9,33751.49,14.18
ITEM000088,ORD00528,PROD0091,5,17481.15,70.56
ITEM000089,ORD00895,PROD0404,4,49246.53,95.91
ITEM000090,ORD00439,PROD0028,2,34245.64,31.92
ITEM000091,ORD00555,PROD0163,10,37034.4,55.77
ITEM000092,ORD00637,PROD0086,2,48778.96,19.55
ITEM000093,ORD00822,PROD0362,4,8441.31,64.05
ITEM000094,ORD00017,PROD0026,6,12347.32,46.73
ITEM000095,ORD00413,PROD0126,1,41862.68,50.56
ITEM000096,ORD00879,PROD0004,6,25645.86,23.34
ITEM000097,ORD00212,PROD0264,1,3837.48,77.3
ITEM000098,ORD00984,PROD0198,8,41603.76,47.48
ITEM000099,ORD00214,PROD0381,6,17976.35,50.91
ITEM000100,ORD00643,PROD0269,3,5258.03,50.62
ITEM000101,ORD00066,PROD0481,3,29653.73,36.71
ITEM000102,ORD00054,PROD0081,6,4496.59,84.34
ITEM000103,ORD00237,PROD0092,8,16456.16,66.63
ITEM000104,ORD00053,PROD0039,7,13248.69,74.77
ITEM000105,ORD00177,PROD0241,7,33238.21,29.52
ITEM000106,ORD00017,PROD0117,7,16810.85,15.05
ITEM000107,ORD00493,PROD0288,1,24126.66,35.55
ITEM000108,ORD00742,PROD0332,9,46811.71,67.4
ITEM000109,ORD00334,PROD0226,8,20196.72,11.6
ITEM000110,ORD00135,PROD0086,3,22558.94,58.46
ITEM000111,ORD00293,PROD0206,4,1990.82,10.32
ITEM000112,ORD00346,PROD0461,4,20779.48,13.46
