product_id,product_name,category,subcategory,cost_price
PROD0001,Biography Born,Books,Biography,49769.6
PROD0002,Accessories Science,Electronics,Accessories,43094.51
PROD0003,Shoes From,Clothing,Shoes,1643.03
PROD0004,Kitchen Argue,Home,Kitchen,18477.78
PROD0005,Furniture Mind,Home,Furniture,20243.97
PROD0006,Accessories Very,Electronics,Accessories,30061.12
PROD0007, shoes mind ,Clothing,Shoes,13351.57
PROD0008,Shoes Blood,Clothing,Shoes,42437.09
PROD0009,Furniture Task,Home,Furniture,11095.89
PROD0010,  SHIRTS ALTHOUGH  ,Clothing,Shirts,44162.14
PROD0011,Education Maintain,Books,Education,3137.92
PROD0012,Decor Child,Home,Decor,47261.17
PROD0013,Decor After,Home,Decor,8296.01
PROD0014, mobiles agency ,Electronics,Mobiles,28339.28
PROD0015,Shirts Side,Clothing,Shirts,22650.2
PROD0016,Technology Picture,Books,Technology,24417.3
PROD0017,Education Exactly,Books,Education,39852.57
PROD0018,Furniture Though,Home,Furniture,38835.92
PROD0019,Accessories Same,Electronics,Accessories,34692.02
PROD0020,  FURNITURE DEMOCRAT  ,Home,Furniture,36798.9
PROD0021, accessories prevent ,Electronics,Accessories,49270.53
PROD0022,Shirts Year,Clothing,Shirts,19972.32
PROD0023,Furniture Final,Home,Furniture,40345.73
PROD0024,Education Detail,Books,Education,38336.81
PROD0025,Mobiles Analysis,Electronics,Mobiles,8491.47
PROD0026,Lighting Majority,Home,Lighting,1782.69
PROD0027,Jeans Nothing,Clothing,Jeans,21261.23
PROD0028, technology section ,Books,Technology,2642.34
PROD0029,Shirts Hear,Clothing,Shirts,17855.27
PROD0030,  DECOR COACH  ,Home,Decor,11487.64
PROD0031,Mobiles Its,Electronics,Mobiles,30259.12
PROD0032,Laptops Ever,Electronics,Laptops,49184.36
PROD0033,Kitchen Rise,Home,Kitchen,29956.06
PROD0034,Shoes Southern,Clothing,Shoes,44564.93
PROD0035, lighting score ,Home,Lighting,35294.17
PROD0036,Decor Analysis,Home,Decor,27790.58
PROD0037,Headphones Surface,Electronics,Headphones,10000.46
PROD0038,Biography Control,Books,Biography,6585.64
PROD0039,Decor High,Home,Decor,47069.37
PROD0040,  KITCHEN READ  ,Home,Kitchen,18645.54
PROD0041,Shirts Point,Clothing,Shirts,17867.37
PROD0042, furniture listen ,Home,Furniture,41302.66
PROD0043,Shoes Production,Clothing,Shoes,5098.31
PROD0044,Technology Skill,Books,Technology,19553.36
PROD0045,Technology Body,Books,Technology,28951.79
PROD0046,Jackets Dinner,Clothing,Jackets,24828.66
PROD0047,Education Dream,Books,Education,39459.73
PROD0048,Kitchen Area,Home,Kitchen,18065.07
PROD0049, technology open ,Books,Technology,49388.79
PROD0050,  LAPTOPS SOCIAL  ,Electronics,Laptops,33663.43
PROD0051,Kitchen Type,Home,Kitchen,3423.1
PROD0052,Lighting Ok,Home,Lighting,22083.91
PROD0053,Kitchen After,Home,Kitchen,16425.92
PROD0054,Jackets Guy,Clothing,Jackets,22551.62
PROD0055,Laptops She,Electronics,Laptops,37496.64
PROD0056, mobiles people ,Electronics,Mobiles,40355.01
PROD0057,Lighting Require,Home,Lighting,34187.28
PROD0058,Headphones Answer,Electronics,Headphones,41295.48
PROD0059,Technology Ready,Books,Technology,49610.75
PROD0060,  FICTION CULTURE  ,Books,Fiction,17413.8
PROD0061,Furniture Rest,Home,Furniture,22904.24
PROD0062,Shirts Thing,Clothing,Shirts,34552.83
PROD0063, biography we ,Books,Biography,18892.36
PROD0064,Accessories Pick,Electronics,Accessories,23143.66
PROD0065,Fiction Player,Books,Fiction,2884.57
PROD0066,Lighting Never,Home,Lighting,33262.48
PROD0067,Education Republican,Books,Education,27739.6
PROD0068,Shoes Speak,Clothing,Shoes,15010.17
PROD0069,Accessories Language,Electronics,Accessories,38969.05
PROD0070,  DECOR USE  ,Home,Decor,35448.36
PROD0071,Headphones Hope,Electronics,Headphones,27427.22
PROD0072,Laptops Rate,Electronics,Laptops,17910.52
PROD0073,Shirts Agree,Clothing,Shirts,10975.31
PROD0074,Shoes Receive,Clothing,Shoes,11478.0
PROD0075,Furniture Its,Home,Furniture,6795.79
PROD0076,Decor Necessary,Home,Decor,34009.26
PROD0077, technology think ,Books,Technology,26110.5
PROD0078,Furniture Gun,Home,Furniture,2702.82
PROD0079,Fiction Money,Books,Fiction,14297.19
PROD0080,  SHIRTS TELEVISION  ,Clothing,Shirts,43101.78
PROD0081,Headphones Majority,Electronics,Headphones,28262.41
PROD0082,Shirts Technology,Clothing,Shirts,13716.41
PROD0083,Accessories Oil,Electronics,Accessories,42323.07
PROD0084, education like ,Books,Education,31990.11
PROD0085,Accessories Surface,Electronics,Accessories,12190.16
PROD0086,Headphones Player,Electronics,Headphones,28124.33
PROD0087,Education Seven,Books,Education,37351.54
PROD0088,Kitchen Degree,Home,Kitchen,27921.66
PROD0089,Jeans Until,Clothing,Jeans,7174.07
PROD0090,  LIGHTING HAVE  ,Home,Lighting,7462.87
PROD0091, fiction reduce ,Books,Fiction,24195.94
PROD0092,Fiction Suffer,Books,Fiction,27652.2
PROD0093,Jackets Senior,Clothing,Jackets,8799.71
PROD0094,Mobiles Color,Electronics,Mobiles,28461.27
PROD0095,Kitchen Civil,Home,Kitchen,13512.92
PROD0096,Furniture Because,Home,Furniture,10762.94
PROD0097,Jackets Community,Clothing,Jackets,28921.74
PROD0098, technology there ,Books,Technology,31546.09
PROD0099,Accessories Skin,Electronics,Accessories,9568.05
PROD0100,  EDUCATION ANIMAL  ,Books,Education,12670.28
PROD0101,Decor Fly,Home,Decor,37344.9
PROD0102,Furniture Agreement,Home,Furniture,21782.24
PROD0103,Biography Hour,Books,Biography,27105.61
PROD0104,Education Draw,Books,Education,35529.01
PROD0105, shirts several ,Clothing,Shirts,36870.32
PROD0106,Decor Various,Home,Decor,22795.81
PROD0107,Accessories The,Electronics,Accessories,36854.63
PROD0108,Education Law,Books,Education,45209.49
PROD0109,Lighting Perhaps,Home,Lighting,19171.39
PROD0110,  HEADPHONES CUT  ,Electronics,Headphones,1976.69
PROD0111,Jeans Artist,Clothing,Jeans,18780.94
PROD0112, decor operation ,Home,Decor,42075.54
PROD0113,Headphones Same,Electronics,Headphones,2996.66
PROD0114,Kitchen Sometimes,Home,Kitchen,27407.03
PROD0115,Mobiles Network,Electronics,Mobiles,37211.53
PROD0116,Technology Eye,Books,Technology,28171.47
PROD0117,Shoes School,Clothing,Shoes,6141.83
PROD0118,Jackets Scientist,Clothing,Jackets,1696.05
PROD0119, kitchen do ,Home,Kitchen,21321.19
PROD0120,  BIOGRAPHY GROUND  ,Books,Biography,29738.27
PROD0121,Shoes Example,Clothing,Shoes,733.43
PROD0122,Headphones Remember,Electronics,Headphones,45383.7
PROD0123,Jackets Base,Clothing,Jackets,42513.17
PROD0124,Education Age,Books,Education,12623.47
PROD0125,Jeans Artist,Clothing,Jeans,15705.55
PROD0126, accessories feel ,Electronics,Accessories,10631.48
PROD0127,Accessories Wear,Electronics,Accessories,41931.7
PROD0128,Technology Walk,Books,Technology,7961.83
PROD0129,Shoes Lay,Clothing,Shoes,3786.52
PROD0130,  TECHNOLOGY POINT  ,Books,Technology,17574.94
PROD0131,Decor Relate,Home,Decor,20603.24
PROD0132,Jeans Kind,Clothing,Jeans,11167.36
PROD0133, jeans have ,Clothing,Jeans,16750.2
PROD0134,Laptops Put,Electronics,Laptops,9848.52
PROD0135,Education Well,Books,Education,12059.33
PROD0136,Shirts Reflect,Clothing,Shirts,25744.16
PROD0137,Accessories Thought,Electronics,Accessories,420.45
PROD0138,Shoes Resource,Clothing,Shoes,15833.84
PROD0139,Accessories General,Electronics,Accessories,35534.06
PROD0140,  SHIRTS LITTLE  ,Clothing,Shirts,16315.44
PROD0141,Headphones Rest,Electronics,Headphones,46242.83
PROD0142,Kitchen Theory,Home,Kitchen,37287.95
PROD0143,Kitchen Data,Home,Kitchen,14543.84
PROD0144,Headphones Attorney,Electronics,Headphones,5426.39
PROD0145,Accessories Include,Electronics,Accessories,24109.03
PROD0146,Decor Surface,Home,Decor,24760.5
PROD0147, technology security ,Books,Technology,49275.88
PROD0148,Kitchen Professional,Home,Kitchen,18451.69
PROD0149,Headphones Reveal,Electronics,Headphones,27096.21
PROD0150,  KITCHEN RAISE  ,Home,Kitchen,43795.56
PROD0151,Jeans Head,Clothing,Jeans,42691.93
PROD0152,Headphones Begin,Electronics,Headphones,25385.4
PROD0153,Shirts East,Clothing,Shirts,25645.09
PROD0154, biography mention ,Books,Biography,16657.85
PROD0155,Headphones Apply,Electronics,Headphones,30012.4
PROD0156,Mobiles Positive,Electronics,Mobiles,43532.39
PROD0157,Accessories Concern,Electronics,Accessories,19944.57
PROD0158,Fiction Energy,Books,Fiction,9438.64
PROD0159,Lighting Identify,Home,Lighting,10847.94
PROD0160,  LIGHTING PM  ,Home,Lighting,16516.38
PROD0161, education performance ,Books,Education,29611.9
PROD0162,Accessories Deep,Electronics,Accessories,25469.39
PROD0163,Accessories Production,Electronics,Accessories,24237.66
PROD0164,Jackets Republican,Clothing,Jackets,18552.81
PROD0165,Shoes Mouth,Clothing,Shoes,43349.69
PROD0166,Furniture Fish,Home,Furniture,13411.85
PROD0167,Mobiles Kind,Electronics,Mobiles,951.91
PROD0168, headphones read ,Electronics,Headphones,19037.44
PROD0169,Fiction Floor,Books,Fiction,2036.77
PROD0170,  SHOES MAY  ,Clothing,Shoes,4397.8
PROD0171,Mobiles Number,Electronics,Mobiles,12233.01
PROD0172,Laptops Dark,Electronics,Laptops,6639.47
PROD0173,Fiction Huge,Books,Fiction,14295.18
